county_code,taxrate,tax_st_diff_top20
19031,0.0233775,2.86
19033,0.0243891,2.86
19035,0.0216028,2.86
19037,0.022611,2.86
19039,0.0229325,2.86
19041,0.0231588,2.86
19043,0.0247683,2.86
19045,0.0238099,2.86
19047,0.0266298,2.86
19049,0.0241648,2.86
19051,0.0232524,2.86
19053,0.026441,2.86
19055,0.0197405,2.86
19057,0.0232601,2.86
19059,0.0267157,2.86
19061,0.022376,2.86
19063,0.0286095,2.86
19065,0.0266869,2.86
19067,0.0240823,2.86
19069,0.0237128,2.86
19071,0.0227499,2.86
19073,0.0297586,2.86
19075,0.0260241,2.86
19077,0.0270468,2.86
19079,0.0309431,2.86
19081,0.0284878,2.86
19083,0.0266226,2.86
19085,0.0225379,2.86
19087,0.0249367,2.86
19089,0.0275719,2.86
19091,0.0256226,2.86
19093,0.0226069,2.86
19095,0.0229134,2.86
19097,0.0198203,2.86
19099,0.0214502,2.86
19101,0.0219598,2.86
19103,0.0217626,2.86
19105,0.0213298,2.86
19107,0.0259072,2.86
19109,0.02619,2.86
19111,0.0252697,2.86
19113,0.0231698,2.86
19115,0.0306337,2.86
19117,0.0201257,2.86
19119,0.0202316,2.86
19121,0.0250073,2.86
19123,0.0222637,2.86
19125,0.0193392,2.86
19127,0.0234621,2.86
19129,0.0230178,2.86
19131,0.024069,2.86
19133,0.0270064,2.86
19135,0.0247154,2.86
19137,0.0238743,2.86
19139,0.0222596,2.86
19141,0.028809,2.86
19143,0.0201578,2.86
19145,0.0229092,2.86
19147,0.0318176,2.86
19149,0.0210807,2.86
19151,0.025339,2.86
19153,0.0271609,2.86
19155,0.025681,2.86
19157,0.0210804,2.86
19159,0.0283677,2.86
19161,0.0243753,2.86
19163,0.0256168,2.86
19165,0.0256778,2.86
19167,0.0211233,2.86
19169,0.0252735,2.86
19171,0.0234448,2.86
19173,0.0244323,2.86
19175,0.0299919,2.86
19177,0.0241845,2.86
19179,0.0235765,2.86
19181,0.0182303,2.86
19183,0.0231876,2.86
19185,0.0227039,2.86
19187,0.025722,2.86
19189,0.0304927,2.86
19191,0.0295605,2.86
19193,0.025471,2.86
19195,0.0224621,2.86
19197,0.0260915,2.86
20001,0.0255775,0.2
20003,0.0224778,0.2
20005,0.0200742,0.2
20007,0.0379138,0.2
20009,0.030778,0.2
20011,0.0238164,0.2
20013,0.0220692,0.2
20015,0.0220735,0.2
20017,0.0304664,0.2
20019,0.0285828,0.2
20021,0.0179211,0.2
20023,0.0338215,0.2
20025,0.0492488,0.2
20027,0.0222496,0.2
20029,0.0277225,0.2
20031,0.0888144,0.2
20033,0.0496278,0.2
20035,0.0238202,0.2
20037,0.0207483,0.2
20039,0.0297257,0.2
20041,0.0239671,0.2
20043,0.0247206,0.2
20045,0.0266039,0.2
20047,0.0336293,0.2
20049,0.0250193,0.2
20051,0.0265672,0.2
